Year,Month,States Affected and Category by States,"Highest 
Saffir- 
Simpson 
U.S. Category","Central Pressure 
(mb)","Max Wind 
(kt)",Name
1936,Jul,"FL; NW2; I-AL,1",2,964,90,
1936,Sep,"NC, 1; VA, 1",1,964,75,
1937,,,,,,
1938,Aug,"LA, 1",1,995,65,
1938,Sep,"NY, 3; CT, 3; RI, 3; MA, 2",3,941,105,"""Great New England"""
1939,Aug,"FL, SE1, NW1",1,985,65,
1940,Aug,"TX, N2; LA, 2",2,972,85,
1940,Aug,"SC, 2; GA, 1",2,972,85,
1941,Sep,"TX, N3,C2",3,942,110,
1941,Oct,"FL, SE2, SW1, NW1, IGA1",2,980,85,
1942,Aug,"TX, N1",1,992,65,
1942,Aug,"TX, C3, N2",3,950,100,
1943,Jul,"TX, N2",2,967,90,
1944,Aug,"NC, 1",1,985,70,
1944,Sep,"NC, 2; VA, 2; NY, 2; CT, 1; 
RI, 2; MA, 1; NJ, 1",2,954,90,"""Great Atlantic"""
1944,Oct,"FL, SW3, NE2, NW1",3,949,105,
1945,Jun,"FL, NW1",1,985,70,
1945,Aug,"TX, C2, S1, N1",3,963,100,
1945,Sep,"FL, SE4, SW3, NE1",4,949,115,
1946,Oct,"FL, SW2, NW1",1,980,75,
1947,Aug,"TX, C1",1,984,70,
1947,Sep,"FL, SE4, SW2, LA2, MS2",4,943,115,
1947,Oct,"GA2, SC2, FL, SW1, SE1",2,965,90,
1948,Sep,LA1,1,983,70,
1948,Sep,"FL, SW4, SE2",4,940,115,
1948,Oct,"FL, SW2, SE2",2,963,90,
1949,Aug,"*NC, 1",1,977,70,
1949,Aug,"FL, SE4, SW1, NW1, NE1, GA1",4,954,115,
1949,Oct,"TX, N2, C1",2,965,95,
1950,Aug,"AL1, FL, NW1",1,979,75,Baker
1950,Sep,"FL, NW3, SW1",3,960,105,Easy
1950,Oct,"FL, SE4, NE1",4,955,115,King
1951,,,,,,
1952,Aug,"SC, 2",2,980,85,Able
1953,Aug,"NC, 1",1,975,80,Barbara
1953,Sep,"FL, NW1",1,975,80,Florence
1953,Oct,"FL, SW1",1,980,75,Hazel
1954,Aug,"NY, 3; CT, 3; RI, 3; MA, 2; NC, 1",3,955,100,Carol
1954,Sep,"MA, 2; NC, 1; NY, 1; RI, 1",2,950,95,Edna
1954,Oct,"SC, 4; NC, 4",4,938,115,Hazel
1955,Aug,"NC, 2; VA, 1",2,962,85,Connie
1955,Sep,"NC, 2",2,955,90,Ione
1956,Sep,"LA, 1; FL, NW1",1,974,75,Flossy
1957,Jun,"LA3; TX, N2",3,946,110,Audrey
1958,Sep,"* NC, 3",3,938,110,Helene
1959,Jul,"SC, 1",1,995,65,Cindy
1959,Jul,"TX, N1",1,980,75,Debra
1959,Sep,"SC, 4",4,951,115,Gracie
1960,Sep,"FL, SW4, SE4, NE1; NC, 2; VA1; NY, 2; CT, 1; RI, 1; MA, 1",4,930,125,Donna
1960,Sep,"LA, 1; MS, 1",1,980,980,Ethel
1961,Sep,"TX, C4",4,931,-----,Carla
1962,,,,,,
1963,Sep,"TX, N1",1,996,-----,Cindy
1964,Aug,"FL, SE2",2,968,-----,Cleo
1964,Sep,"FL, NE2",2,966,-----,Dora
1964,Oct,"LA, 3",3,950,-----,Hilda
1964,Oct,"FL, SW2, SE2",2,974,-----,Isbell
1965,Sep,"FL, SE3; LA, 3",3,948,-----,Betsy
1966,Jun,"FL, NW2",2,982,-----,Alma
1966,Oct,"FL, SW1",1,983,-----,Inez
1967,Sep,"TX, S3",3,950,-----,Beulah
1968,Oct,"FL, NW2, NE1",2,977,-----,Gladys
1969,Aug,"LA, 5; MS, 5",5,909,-----,Camille
1969,Sep,"ME, 1",1,980,-----,Gerda
1970,Aug,"TX, S3",3,945,-----,Celia
1971,Sep,"LA, 2",2,978,-----,Edith
1971,Sep,"TX, C1",1,979,-----,Fern
1971,Sep,"NC, 1",1,995,-----,Ginger
1972,Jun,"FL, NW1; NY, 1; CT, 1",1,980,-----,Agnes
1973,,,,,,
1974,Sep,"LA, 3",3,952,-----,Carmen
1975,Sep,"FL, NW3; I-AL1",3,955,-----,Eloise
1976,Aug,"NY, 1",1,980,-----,Belle
1977,Sep,"LA, 1",1,995,-----,Babe
1978,,,,,,
1979,Jul,"LA, 1",1,986,-----,Bob
1979,Sep,"FL, SE2, NE2; GA, 2; SC, 2",2,970,-----,David
1979,Sep,"AL, 3; MS, 3",3,946,-----,Frederic
1980,Aug,"TX, S3",3,945,100,Allen
1981,,,,,,
1982,,,,,,
1983,Aug,"TX, N3",3,962,100,Alicia
1984,Sep,"* NC, 2",2,949,95,Diana
1985,Jul,"SC, 1",1,1003,65,Bob
1985,Aug,"LA, 1",1,987,80,Danny
1985,Sep,"AL, 3; MS, 3; FL, NW3",3,959,100,Elena
1985,Sep,"NC, 3; NY, 3; CT, 2; NH,2; ME, 1",3,942,90,Gloria
1985,Oct,"LA, 1",1,971,75,Juan
1985,Nov,"FL, NW2; I-GA 1",2,967,85,Kate
1986,Jun,"TX, N1",1,990,75,Bonnie
1986,Aug,"NC, 1",1,990,65,Charley
1987,Oct,"FL, SW1",1,993,65,Floyd
1988,Sep,"LA, 1",1,984,70,Florence
1989,Aug,"TX, N1",1,986,70,Chantal
1989,Sep,"SC, 4; I-NC 1",4,934,120,Hugo
1989,Oct,"TX, N1",1,983,75,Jerry
1990,,,,,,
1991,Aug,"RI, 2; MA, 2; NY, 2; CT, 2",2,962,90,Bob
1992,Aug,"FL, SE5, SW4; LA, 3",5,922,145,Andrew
1993,Aug,"* NC, 3",3,961,100,Emily
1994,,,,,,
1995,Aug,"FL, NW2, SE1",2,973,85,Erin
1995,Oct,"FL, NW3, I-AL 1",3,942,100,Opal
1996,Jul,"NC, 2",2,974,90,Bertha
1996,Sep,"NC, 3",3,954,100,Fran
1997,Jul,"LA, 1; AL, 1",1,984,70,Danny
1998,Aug,"NC, 2",2,964,95,Bonnie
1998,Sep,"FL, NW1",1,987,70,Earl
1998,Sep,"FL, SW2; MS, 2",2,964,90,Georges
1999,Aug,"TX, S3",3,951,100,Bret
1999,Sep,"NC, 2",2,956,90,Floyd
1999,Oct,"* FL, SW1; NC, 2",2,964,95,Irene
2000,,,,,,
2001,,,,,,
2002,Oct,"LA, 1",1,963,80,Lili
2003,Jul,"TX, C1",1,979,80,Claudette
2003,Sep,"NC, 2; VA, 1",2,957,90,Isabel
2004,Aug,"* NC, 1",1,972,70,Alex
2004,Aug,"FL, SW4, SE1, NE1; SC, 1; NC, 1",4,941,130,Charley
2004,Aug,"SC, 1",1,985,65,Gaston
2004,Sep,"FL, SE2, SW1",2,960,90,Frances
2004,Sep,"AL, 3; FL, NW3",3,946,105,Ivan
2004,Sep,"FL, SE3, SW1, NW1",3,950,105,Jeanne
2005,Jul,"LA, 1",1,991,65,Cindy
2005,Jul,"FL, NW3; I-AL 1",3,946,105,Dennis
2005,Aug,"FL, SE1, SW1; LA, 3; MS, 3; AL, 1",3,920,110,Katrina
2005,Sep,"* NC, 1",1,982,65,Ophelia
2005,Sep,"FL, SW1; LA, 3; TX, N2",3,937,100,Rita
2005,Oct,"FL, SW3; FL, SE2",3,950,105,Wilma
2006,,,,,,
2007,Sep,"TX, N1; LA, 1",1,985,80,Humberto
2008,Jul,"TX, S1",1,967,75,Dolly
2008,Sep,"LA, 2",2,954,90,Gustav
2008,Sep,"TX, N2; LA, 1",2,950,95,Ike
2009,,,,,,
2010,,,,,,
2011,Aug,"NC, 1",1,952,75,Irene
2012,Aug,"LA, 1",1,966,70,Isaac
2012,Oct,"* NY, 1",1,942,65,Sandy
2013,,,,,,
2014,Jul,"NC, 2",2,973,85,Arthur
2015,,,,,,
2016,Sep,"FL, NW1",1,981,70,Hermine
2016,Oct,"* FL, NE2; GA, 1; SC, 1; NC, 1",2,963,85,Matthew
2017,Aug,"TX,S 4",4,937,115,Harvey
2017,Sep,"FL,SW 4,SE 1",4,931,115,Irma
2017,Oct,"LA 1, MS 1",1,983,65,Nate
